V,E,F,countbasetissues,basetissues,countatissues,atissues,countbtissues,btissues,from,to
66,292,56,1,65536,8,261120,7,508,15605374,15554907
12,22,54,1,256,6,350,9,261152,17476806,17131030
26,54,50,2,640,5,63488,10,197374,111842899,111956554
25,52,50,2,576,5,62464,10,197374,111842899,111956554
27,58,50,2,520,5,48128,10,197374,111818224,111883723
24,52,50,2,516,5,31744,10,197374,111952030,112078219
17,32,45,2,65544,5,44064,9,197596,82508212,82188230
14,26,45,1,65536,5,220,9,261152,103489441,104080983
18,34,45,1,32768,5,346,9,261152,17334085,17131030
12,24,45,2,16640,5,342,9,261248,90280175,90109563
23,46,45,2,528,5,56320,9,196862,111952030,112078219
17,50,42,2,66560,6,380,7,65024,124166458,124046048
11,26,40,1,65536,4,156,10,261664,125331669,125551059
13,24,40,2,18432,4,404,10,245282,2717512,2227608
16,30,40,2,16896,4,86,10,261280,90130915,88970335
34,84,40,2,2304,10,261378,4,172,26972357,26956582
36,94,40,2,2176,10,260866,4,172,26963413,27574814
10,32,40,2,2176,5,59520,8,196926,4657088,5632608
11,20,40,2,2112,5,62464,8,196926,111773086,111883723
36,94,40,2,2080,10,257794,4,172,26963413,27574814
11,20,40,2,2064,5,56320,8,196926,111773086,111883723
35,90,40,2,2064,10,253698,4,172,26963413,27574814
10,28,40,2,2064,5,52352,8,196926,4657088,5632608
11,20,40,2,2056,5,48128,8,196926,111773086,111883723
34,90,40,2,2056,10,245506,4,172,27275384,27529345
10,32,40,2,2056,5,44160,8,196926,4657088,5632608
11,20,40,2,2052,5,31744,8,196926,111773086,111883723
37,94,40,2,2052,10,229122,4,172,27275384,27529345
12,22,40,2,1152,5,63488,8,196926,112078219,112005707
11,20,40,2,1088,5,62464,8,196926,111776614,111883723
13,24,40,2,1056,5,60416,8,196926,111776614,111883723
11,20,40,2,1040,5,56320,8,196926,111776614,111883723
11,20,40,2,1032,5,48128,8,196926,111776614,111883723
11,20,40,2,1028,5,31744,8,196926,111776614,111883723
18,34,40,2,96,5,189440,8,510,2163434,2844196
18,34,36,2,65568,4,42016,9,197596,82486980,82188230
14,26,36,3,35328,4,538,9,261248,90280175,90109563
12,22,36,3,33536,4,90,9,261248,90280175,90109563
10,18,36,1,16384,3,148,12,261922,138360078,137981420
25,50,36,1,16384,3,148,12,261922,101553670,101097611
21,40,36,1,16384,4,338,9,261152,17487827,17131030
35,92,36,2,2112,9,259586,4,172,27278155,27529345
13,24,36,1,2048,4,156,9,65058,121293359,122131451
35,70,36,1,2048,3,28,12,261794,119424075,118919120
36,74,36,1,512,3,28,12,261794,119424075,118919120
12,22,36,1,256,4,340,9,228386,94549686,94711135
12,22,35,2,2176,5,63488,7,196670,111773086,111883723
13,24,35,2,2080,5,60416,7,196670,111773086,111883723
11,20,35,1,512,5,131228,7,64544,120556214,122131451
17,34,35,2,192,5,192512,7,446,2163434,2844196
17,32,35,2,80,5,185344,7,446,2847304,26956582
18,34,35,2,33,5,60416,7,446,2847304,26956582
13,24,33,1,65536,3,28,11,65504,120402642,122131451
15,28,33,2,34816,3,152,11,261666,101553670,101097611
24,60,33,1,2048,3,140,11,261666,116869262,116554937
11,22,30,3,74752,3,44,10,261888,85964122,86154128
20,40,30,1,16384,10,119158,3,8832,297523,459363
33,64,30,1,8192,3,322,10,261280,17497090,17131030
37,72,30,1,2048,3,274,10,261280,17497090,17131030
39,76,30,1,512,3,82,10,261280,17334085,17131030
13,24,30,4,360,10,239064,3,38,5187366,5833133
38,88,30,2,144,3,53248,10,197502,98820538,98279937
30,64,28,2,65664,7,260096,4,928,72872385,104296960
30,66,28,2,65568,7,257024,4,928,72872385,104296960
32,68,28,2,65552,7,252928,4,928,72872385,104296960
30,62,28,2,65544,7,244736,4,928,72872385,104296960
30,64,28,2,65540,7,228352,4,928,72872385,104296960
22,58,28,1,32768,2,24,14,262114,89277773,89877779
10,18,28,2,16386,4,131220,7,64544,120549051,123341278
16,38,28,1,8192,4,204,7,207394,117045358,116918420
35,76,28,2,160,7,256002,4,928,74406280,75765538
28,60,28,2,130,7,194562,4,928,72881668,73027776
15,36,28,3,74,7,177472,4,156,77708239,86595255
14,34,28,3,70,7,161088,4,156,77708239,86595255
29,56,28,2,48,4,52224,7,446,2847304,26956582
43,112,28,2,40,4,44032,7,508,95839889,95852075
19,38,28,1,4,7,17868,4,131618,133738993,133568081
19,36,27,2,65664,3,40992,9,197596,82508212,82188230
19,36,27,2,65600,3,57344,9,197596,82508212,82188230
34,66,27,1,65536,3,336,9,261152,17497090,17131030
16,30,27,3,41472,3,74,9,261248,90130915,88970335
16,32,27,3,41216,3,74,9,261248,90280175,90109563
31,70,27,1,32768,3,88,9,261152,95432841,123341278
14,26,27,1,8192,3,448,9,244770,2841245,2163434
22,68,27,2,5120,3,84,9,261632,124164839,124046048
16,30,27,1,2048,3,276,9,228386,94560683,94711135
16,30,27,1,512,3,84,9,228386,94560683,94711135
11,26,27,1,256,3,13312,9,231726,136893289,139137563
33,64,27,2,144,3,51200,9,197596,82564680,82188230
38,74,27,2,68,3,25600,9,197596,82564680,82188230
30,58,27,2,24,3,35840,9,197596,82564680,82188230
24,68,26,1,65536,2,20,13,262112,881411,981972
20,40,26,2,16392,13,245716,2,34,126122317,125872839
19,36,26,1,16384,2,20,13,262112,82564680,82188230
39,86,26,1,16384,2,20,13,262112,981972,997796
20,42,26,2,8320,13,261068,2,34,126122317,125872839
37,78,26,1,8192,13,261580,2,34,37036563,37486388
44,88,26,1,1024,2,20,13,261986,123337303,124855121
11,20,26,1,1024,2,320,13,196158,75495556,75699923
14,26,26,1,1024,2,12,13,261986,762586,687034
11,20,26,1,512,13,261340,2,34,130181244,129986586
11,20,26,1,512,2,192,13,196158,75489397,75765538
17,32,26,2,384,13,260572,2,34,37406091,37218205
80,380,25,3,73,5,111616,5,484,15513949,15554907
21,42,25,1,32,5,11456,5,196658,20944472,20621952
79,366,25,3,13,5,80896,5,484,15540739,15510589
76,220,24,2,65664,8,260128,3,448,117249112,117693036
44,100,24,1,32768,12,261576,2,34,37036563,37486388
11,32,24,2,16385,12,130262,2,768,132849360,132698693
29,58,24,1,16384,2,144,12,261922,135133190,134655292
13,24,24,1,16384,12,261174,2,768,134582631,134619243
15,28,24,1,16384,2,20,12,261984,72597123,72732597
25,50,24,1,8192,2,136,12,261922,135133190,134655292
56,114,24,1,8192,2,12,12,261794,119432003,118919120
11,20,24,2,4128,4,19458,6,476,95852075,96329569
64,196,24,2,4100,8,228354,3,448,117795565,117566969
10,20,24,1,1024,2,24,12,261922,138360078,137981420
30,60,24,1,1024,2,24,12,261922,135128175,134655292
13,32,24,2,258,8,147932,3,13312,126498911,126793786
16,32,24,2,258,8,193856,3,28,77191083,75765538
49,160,24,2,258,8,195586,3,176,15524673,15554907
25,52,24,1,256,3,163872,8,11736,389145,459363
34,76,24,2,192,6,192514,4,928,72881668,73027776
28,56,24,2,160,4,59392,6,444,3478751,3531868
34,74,24,3,152,6,235522,4,928,72881668,73027776
35,78,24,3,148,6,219138,4,928,72885236,72378991
32,70,24,3,145,6,120834,4,928,72881668,73027776
91,440,24,3,140,4,145408,6,500,15513949,15554907
30,64,24,3,137,6,112642,4,928,72881668,73027776
30,66,24,3,133,6,96258,4,928,72881668,73027776
17,56,24,2,130,6,192768,4,156,77709764,86595255
25,56,24,3,98,6,189442,4,928,73224457,73027776
25,56,24,3,82,6,185346,4,928,73224457,73027776
29,66,24,3,81,6,119810,4,928,73227950,73027776
20,40,24,2,80,12,251740,2,34,125900315,126116169
90,440,24,3,76,4,144384,6,500,15513949,15554907
49,138,24,2,72,4,46080,6,444,95056867,95431813
25,56,24,3,70,6,160770,4,928,73224457,73027776
74,228,24,2,68,8,226338,3,448,117395208,117267940
74,226,24,2,65,8,128034,3,448,117423241,117693036
17,46,24,3,42,6,173376,4,156,77682746,77643859
28,60,24,3,42,6,175106,4,928,73224457,73027776
30,60,24,2,40,4,44032,6,444,3478751,3531868
18,50,24,3,38,6,156992,4,156,77681610,77643859
29,66,24,3,38,6,158722,4,928,73224457,73027776
30,60,24,2,36,4,27648,6,444,3480680,3531868
91,450,24,3,28,4,138240,6,500,15186632,15510589
50,128,24,2,24,3,35840,8,66044,95432841,123341278
30,66,24,3,22,6,154626,4,928,72871751,73027776
34,76,24,3,21,6,89090,4,928,72871751,73027776
17,50,24,3,14,6,144704,4,156,77709764,86595255
28,60,24,3,14,6,146434,4,928,72871751,73027776
82,340,24,2,6,6,162816,4,480,15621000,15510589
16,42,24,0,0,2,144,12,261922,13444320,14315158
10,28,22,2,81920,11,261204,2,768,132826552,132698693
20,38,22,2,33792,2,24,11,261666,101553670,101097611
49,144,22,2,32776,11,244794,2,320,117278669,117693036
20,38,22,1,32768,11,261170,2,768,134582631,134619243
37,106,22,1,32768,2,136,11,261666,116998689,116554937
45,128,22,2,20480,11,261142,2,320,117258226,117693036
20,42,22,2,16640,11,228692,2,34,126147381,125872839
53,146,22,2,16512,11,260150,2,320,117245970,117693036
47,130,22,2,16448,11,259126,2,320,117278669,117693036
52,144,22,2,16400,11,252982,2,320,117278669,117693036
43,118,22,1,16384,2,132,11,261666,116998689,116554937
16,34,22,1,8192,11,250222,2,640,297523,459363
