V,E,F,countbasetissues,basetissues,countatissues,atissues,countbtissues,btissues,from,to
19,18,7.48,1,64,7,431,8,130560,81672005,82073430
17,16,7.48,2,32896,8,65663,7,32512,140042596,139874120
22,21,7.48,1,128,7,367,8,130560,81176442,81639113
18,17,7.48,1,256,7,239,8,130560,81152733,81639113
20,19,7.00,2,768,7,130048,7,254,11015095,16684483
18,17,6.93,1,2,8,98796,6,23569,107842967,108099038
17,16,6.93,1,32,8,98766,6,23569,107866453,108099038
32,32,6.93,2,4608,6,125952,8,255,10982309,11015095
31,30,6.93,2,33280,6,97280,8,255,10982309,11015095
35,35,6.93,2,49152,6,81408,8,255,10982309,11015095
10,9,6.71,1,2,9,32548,5,98449,151125047,151467292
14,13,6.71,1,4,5,7682,9,115185,157704281,157317181
14,16,6.71,1,32,5,79,9,114560,2573061,2592239
57,66,6.48,2,129,6,98350,7,32272,47501107,47832837
45,59,6.48,2,513,7,97536,6,246,112570884,112755417
24,23,6.48,2,2056,7,128512,6,437,11414670,8475212
22,21,6.48,2,4104,7,126464,6,437,11411124,8475212
100,147,6.48,2,16400,7,114176,6,238,30650202,30115790
46,45,6.48,2,2560,7,128064,6,437,11411124,8475212
45,44,6.48,2,6144,7,124480,6,437,11411124,8475212
50,49,6.48,2,10240,7,120384,6,437,11411124,8475212
69,92,6.48,2,81920,6,48640,7,253,121040027,120627394
63,62,6.48,1,16384,7,112192,6,437,11444988,11872433
32,31,6.32,1,1,5,174,8,130560,81155790,81639113
52,51,6.32,1,2,5,236,8,130560,81155790,81639113
29,50,6.32,2,132,5,98346,8,32528,47869336,47694736
11,12,6.32,1,4,8,32514,5,98449,151125047,151467292
62,61,6.32,1,8,5,230,8,130560,82073430,81672005
17,23,6.32,1,64,4,15,10,130944,2600087,2670003
65,126,6.32,1,256,8,114192,5,110,30642696,30064470
25,24,6.32,3,18944,5,111616,8,255,10982309,11015095
27,26,6.32,3,68096,5,62464,8,255,10982309,11015095
18,17,6.32,2,66048,5,31744,8,255,16688109,17336477
40,41,6.32,3,11264,5,119296,8,255,16130591,16461321
31,30,6.32,3,19456,5,111104,8,255,12164767,12251945
33,32,6.32,3,82944,5,47616,8,255,10982309,11015095
17,16,6.32,2,73728,5,24064,8,255,16606158,16461321
17,16,6.32,2,81920,5,15872,8,255,16606158,16461321
21,21,6.24,1,64,3,14,13,130993,137364500,137530869
39,52,6.00,3,66561,6,64000,6,246,112570884,112755417
46,59,6.00,2,2049,6,95744,6,246,112570884,112755417
41,54,6.00,3,69633,6,60928,6,246,112570884,112755417
39,52,6.00,3,81921,6,48640,6,246,112570884,112755417
15,17,6.00,1,1,4,172,9,130816,102474540,102713630
14,17,6.00,1,2,3,168,12,130897,117329370,117797247
24,23,6.00,1,2,3,76,12,130992,32540191,33173349
10,9,6.00,1,8,4,98434,9,32529,1203217,1042840
29,30,6.00,2,2064,6,30464,6,238,112424780,112755417
12,12,6.00,2,544,9,129472,4,30,87523159,87254154
13,12,6.00,2,16448,6,15880,6,98358,138415513,138144876
21,20,6.00,1,128,12,32367,3,98320,17108929,17411773
62,61,6.00,2,1536,6,127040,6,437,11418453,8475212
56,55,6.00,2,4608,6,123968,6,437,11411124,8475212
59,58,6.00,2,33280,6,95296,6,437,11455793,11872433
46,45,6.00,3,35840,6,94784,6,437,11414670,8475212
46,46,6.00,2,3072,9,29231,4,98576,17025039,17411773
48,47,6.00,3,100352,6,30272,6,437,11414670,8475212
67,86,6.00,2,67584,6,62976,6,245,120977937,121036416
10,10,6.00,1,2048,4,22016,9,33215,105667194,105518522
20,19,6.00,1,16384,4,13824,9,33275,105667194,105518522
31,34,5.92,3,33025,7,97792,5,118,112584313,112755417
33,39,5.92,3,65793,7,65024,5,118,112584313,112755417
16,15,5.92,2,68,7,98730,5,7185,107837700,108099038
14,13,5.92,2,260,7,98538,5,7185,107837700,108099038
74,87,5.92,2,16388,7,15882,5,98512,148632676,148577834
15,14,5.92,2,32772,7,66026,5,7185,107837700,108099038
15,14,5.92,2,65540,7,33258,5,7185,107837700,108099038
15,14,5.92,2,72,7,98726,5,7185,107842967,108099038
13,12,5.92,2,264,7,98534,5,7185,107842967,108099038
13,12,5.92,2,32776,7,66022,5,7185,107842967,108099038
13,12,5.92,2,65544,7,33254,5,7185,107831976,108212316
13,12,5.92,1,8,7,130048,5,241,4522759,3342828
36,39,5.92,2,8208,5,22272,7,239,112424780,112755417
18,17,5.92,2,65568,7,33230,5,7185,39368771,39020571
85,130,5.92,1,32,5,98442,7,32272,47124704,46015376
15,14,5.92,2,320,7,98478,5,7185,107842967,108099038
10,9,5.92,2,4224,7,28480,5,98356,137874891,138144876
56,65,5.92,2,65792,7,65024,5,213,121040027,120627394
10,9,5.92,1,512,5,488,7,120849,80290415,79762377
13,12,5.92,2,67584,5,30208,7,223,17987228,17336477
19,18,5.92,1,32768,7,97792,5,241,3190615,3076214
13,12,5.74,2,65538,3,44,11,65488,20371511,20638782
13,16,5.74,1,4,3,42,11,130896,117827730,124568173
11,11,5.74,2,136,3,38,11,130833,19182687,19711153
18,24,5.74,1,64,3,14,11,130833,18739584,19151254
10,12,5.74,1,64,3,42,11,114577,1270840,156801485
10,9,5.74,2,1536,3,14336,11,98815,12353167,12251945
12,11,5.74,2,4608,3,11264,11,98815,12354947,12251945
14,13,5.74,2,12288,3,3584,11,98815,12353167,12251945
55,63,5.66,2,5,8,32266,4,98384,148730313,148843474
56,64,5.66,2,9,8,32262,4,98384,148198057,148718917
95,119,5.66,2,32769,4,65550,8,32528,47222290,48019053
61,90,5.66,3,32898,4,65580,8,32528,46015376,47241036
10,10,5.66,2,1026,4,6660,8,114929,157317181,157653699
11,11,5.66,2,2050,4,5636,8,114929,157407395,157666465
11,11,5.66,2,4098,4,3588,8,114929,157407395,157666465
47,48,5.66,1,4,4,170,8,130560,81155790,81639113
64,91,5.66,3,32904,4,65574,8,32528,46015376,47241036
12,12,5.66,2,8224,8,121664,4,30,87523159,87254154
52,56,5.66,1,32,8,27151,4,98576,17025039,17411773
26,25,5.66,2,1280,4,110592,8,255,11015095,16684483
30,29,5.66,2,33024,4,78848,8,255,11015095,16684483
10,11,5.66,3,68608,4,29184,8,255,116601829,117823142
36,36,5.66,3,38912,4,91136,8,255,36407986,37489059
38,47,5.48,3,33793,6,96768,5,118,112570884,112755417
36,45,5.48,3,36865,6,93696,5,118,112570884,112755417
38,46,5.48,3,49153,6,81408,5,118,112570884,112755417
82,107,5.48,1,2,6,14860,5,98512,148801120,148826080
17,20,5.48,2,40,3,134,10,130832,102474540,102713630
90,116,5.48,2,520,5,31744,6,98544,148642978,148577834
14,13,5.48,2,4104,5,20032,6,98358,138432890,138144876
10,9,5.48,2,4104,10,126485,3,352,137628765,137688280
29,28,5.48,2,32776,5,77312,6,437,11414670,8475212
21,32,5.48,1,8,3,7,10,130944,2755900,2592239
16,16,5.48,3,65808,6,32256,5,110,112583102,112755417
100,143,5.48,4,5648,5,124928,6,238,30463655,30515311
30,32,5.48,3,1552,5,30976,6,238,112424780,112755417
100,148,5.48,3,8720,6,121856,5,110,30476081,30324778
17,17,5.48,3,66064,6,32000,5,110,112583102,112755417
29,31,5.48,3,17424,5,15104,6,238,112424780,112755417
16,16,5.48,3,66576,6,31488,5,110,112583102,112755417
98,146,5.48,3,10256,6,120320,5,110,30463655,30515311
95,140,5.48,3,12304,6,118272,5,110,30463655,30515311
19,18,5.48,2,288,6,32974,5,7185,39020571,39368771
17,16,5.48,3,98368,5,302,6,23569,107866453,108099038
18,23,5.48,1,64,3,38,10,130832,102689499,102553014
67,90,5.48,2,66560,6,64000,5,213,121198797,121036416
15,17,5.48,1,1024,6,31488,5,98449,151125047,151467292
100,100,5.48,2,40960,5,87552,6,183,10982309,11015095
72,91,5.48,2,49152,6,81408,5,213,121040027,120627394
70,87,5.29,2,1028,7,31242,4,98384,148214354,148718917
10,9,5.29,1,4,4,232,7,120849,80143993,79762377
57,65,5.29,2,33024,7,97792,4,209,121040027,120627394
16,16,5.29,1,256,7,32257,4,92,89801558,89839690
16,15,5.29,2,66560,4,29184,7,223,16606158,16461321
13,16,5.29,2,67584,7,63232,4,92,66472188,66254787
11,11,5.20,2,32776,3,65570,9,32529,93552793,93633571
79,133,5.20,1,64,3,14,9,130320,98731053,156931457
22,32,5.20,1,64,3,14,9,130688,41045881,41743202
13,12,5.20,1,64,3,98336,9,24339,30036175,30634606
19,18,5.20,2,2176,9,128776,3,112,112101267,112755417
15,18,5.20,1,128,3,44,9,130816,102474540,102713630
