V,E,F,countbasetissues,basetissues,countatissues,atissues,countbtissues,btissues,from,to
97,96,50,1,2048,5,14080,10,98559,26618749,26442043
11,10,48,2,513,8,130304,6,246,95004733,92033789
11,10,48,2,16385,8,114432,6,246,95004733,92033789
13,12,48,2,16512,8,114432,6,95,78327326,79977998
11,10,48,2,98304,6,32256,8,255,75832484,73459999
11,12,45,1,2048,5,30208,9,98719,114572692,115091026
10,9,44,2,264,11,32486,4,98321,52486408,52700216
34,38,42,3,1281,7,129536,6,252,63090648,67803666
14,16,42,3,16641,7,114176,6,252,98090233,107220468
17,19,42,2,257,7,126464,6,126,111864866,111794492
15,18,42,2,1025,7,125696,6,126,111864866,111794492
32,32,42,2,16385,6,81408,7,254,65107292,67803666
13,12,42,2,32769,7,97792,6,246,95004733,92033789
12,11,42,1,1,6,238,7,113168,32113552,32316828
13,12,42,2,6,7,98425,6,16000,31381665,31192301
16,15,42,2,640,7,113920,6,95,78327326,79977998
17,16,42,2,1152,7,113408,6,95,78327326,79977998
17,16,42,2,32896,7,81664,6,95,78327326,79977998
18,17,42,2,65664,7,48896,6,95,78327326,79977998
14,13,40,2,8194,10,24300,4,98321,52581135,53028714
30,32,40,1,512,4,29696,10,98783,115004375,114902502
28,30,40,1,1024,4,29184,10,98783,115004375,114902502
29,32,40,1,4096,4,26112,10,98783,114890414,114998126
30,32,40,1,8192,4,22016,10,98783,115004375,114902502
28,31,40,1,16384,4,13824,10,98783,114890414,114998126
13,16,36,3,33025,6,93696,6,252,97875677,98086991
66,89,36,3,2561,6,128000,6,462,100025178,100007045
20,19,36,2,6,9,24296,4,98321,52581135,53028714
17,16,36,3,2058,9,30436,4,98321,52581135,53028714
23,24,36,1,32,4,78,9,129808,32113552,32316828
16,17,36,2,384,9,130561,4,78,111864866,111794492
26,25,36,3,82176,6,48640,6,95,78327326,79977998
60,59,36,1,16384,6,16128,6,98513,26616358,26442043
13,12,36,1,32768,3,65666,12,16253,102169966,102431776
27,26,36,0,0,4,270,9,97809,85540761,86372925
13,14,35,3,769,7,130048,5,220,98090233,107220468
13,14,35,3,2305,7,128512,5,220,98090233,107220468
69,90,35,3,4609,5,93184,7,478,100025178,100007045
62,95,35,2,16385,5,15872,7,478,99975477,100007045
24,24,35,2,32769,7,97792,5,244,65108079,67803666
98,115,35,4,25344,5,105472,7,254,98090233,107220468
50,53,35,4,39168,5,91648,7,254,95096424,95255933
80,79,35,1,256,5,15872,7,98515,26636607,26442043
86,85,35,1,512,5,15616,7,98515,26618749,26442043
84,83,35,1,1024,5,15104,7,98515,26636607,26442043
62,91,35,2,34816,7,95745,5,460,100068555,100007045
84,83,35,1,4096,5,12032,7,98515,26618749,26442043
77,76,35,1,8192,5,7936,7,98515,26618749,26442043
12,11,33,1,2,3,98432,11,8061,102169966,102431776
11,10,33,1,4,3,74,11,130864,71900153,72439619
12,11,33,1,65536,3,32898,11,8061,102169966,102431776
13,12,32,2,4352,4,26112,8,32895,79984580,79235401
10,9,32,2,66048,4,49440,8,7255,44764831,44948141
70,76,32,3,82944,4,45568,8,255,79934974,79977998
96,104,32,2,36864,4,75264,8,255,78185417,78327326
10,9,32,0,0,4,281,8,24288,19705703,19714331
11,10,30,2,257,5,117248,6,246,95262714,92001556
36,37,30,2,8193,5,24064,6,246,65108079,67803666
48,51,30,2,65537,6,32256,5,244,65108079,67803666
12,13,30,2,258,3,104,10,130577,24632452,24828352
21,24,30,2,96,3,388,10,130577,33008079,34393085
20,31,30,1,32,3,138,10,130832,76143349,75950578
14,13,30,1,32,3,76,10,130321,45710949,45774771
12,11,30,1,64,3,14,10,130832,110761244,110429016
18,18,30,1,64,3,14,10,97937,107568341,107220468
17,16,30,1,64,10,65192,3,276,98085539,107220468
10,9,30,3,4480,10,28270,3,65553,52486408,52700216
16,16,30,1,128,5,110,6,104976,32014998,32316828
36,64,30,3,2816,6,128000,5,94,32998024,34393085
100,115,30,4,21760,5,109056,6,222,99483553,99856198
100,113,30,4,26880,5,103936,6,222,99827846,100153510
38,41,30,2,4352,5,124928,6,126,110414139,110429016
67,78,30,4,90368,5,40448,6,252,95096424,95255933
44,57,30,2,1536,5,124928,6,126,110414139,110429016
39,55,30,2,8704,5,117760,6,126,111487066,111268634
43,56,30,2,16896,6,113664,5,62,110414139,110429016
41,56,30,2,33792,5,92672,6,126,111838707,111364099
18,20,28,2,4097,7,125696,4,30,111864866,111794492
62,83,28,2,65537,7,65024,4,456,100025178,100007045
11,10,28,2,34,7,98397,4,7680,31381665,31192301
11,10,28,2,32770,7,65661,4,7680,31381665,31192301
11,10,28,2,65538,7,32893,4,7680,31381665,31192301
23,22,28,1,2,4,108,7,113168,32116033,32316828
10,9,28,1,4,2,10,14,131057,46474203,46188334
20,19,28,1,4,4,106,7,113168,32113552,32316828
67,79,28,1,64,4,46,7,32272,37411251,38924836
17,18,28,2,1152,7,129536,4,30,111465293,111364099
18,20,28,2,8320,7,122368,4,30,111810666,111566728
23,24,28,2,16512,7,114176,4,46,109603591,111066637
70,76,28,3,82432,4,46080,7,223,79241182,79977998
85,88,28,2,34816,4,78336,7,223,79240084,79977998
99,101,28,2,67584,4,45568,7,223,79973478,79235401
57,63,28,4,94208,4,36352,7,223,79984580,79235401
61,66,27,1,1,3,14,9,130688,80734491,80914293
55,64,27,1,2,3,13,9,32656,29230225,29069906
21,20,27,2,520,9,130144,3,276,98088719,107220468
26,25,27,1,8,3,98,9,129808,32116033,32316828
65,68,27,1,8,3,7,9,32656,29230225,29069906
51,51,27,1,16,3,14,9,130688,80942377,80354813
18,17,27,2,65568,3,32897,9,15950,41705702,41769638
18,17,27,1,128,9,65064,3,276,98088719,107220468
10,9,27,1,512,3,22528,9,511,74866472,74708085
73,86,25,4,75008,5,55808,5,220,99483553,99856198
36,63,25,3,10496,5,87552,5,94,33102756,34393085
74,86,25,4,78080,5,52736,5,220,98086991,107220468
62,67,25,4,53504,5,77312,5,220,95096424,95255933
69,81,25,4,86272,5,44544,5,220,95096424,95255933
13,12,25,3,6656,5,123904,5,341,92053553,95255933
33,56,25,3,11264,5,86784,5,110,34390899,60970007
10,9,25,2,9216,5,23072,5,31,27276433,26798181
64,83,24,3,1537,6,129024,4,456,100025178,100007045
62,87,24,3,8705,6,121856,4,456,100012186,100007045
17,22,24,2,513,6,125952,4,78,111864866,111794492
34,34,24,2,513,4,15360,6,246,65108079,67803666
12,11,24,2,260,3,42,8,106001,24632452,24828352
22,22,24,2,16388,8,114177,3,208,39587382,40228906
29,28,24,1,4,2,10,12,130897,53752390,53422942
61,73,24,1,4,3,11,8,32400,29230225,29069906
27,33,24,2,40,3,70,8,126480,21546153,21711757
16,15,24,2,32800,3,65665,8,15942,41705702,41769638
16,15,24,1,32,3,14,8,32273,67796615,67202425
12,12,24,2,576,8,128288,3,14,31039272,31307395
92,104,24,5,23296,4,107520,6,222,99827846,100153510
34,62,24,3,67840,6,62976,4,78,35515949,34393085
77,87,24,3,41216,6,89600,4,212,95096424,95255933
37,60,24,3,41216,6,89600,4,86,34391464,38924836
32,31,24,3,73984,4,7680,6,95,78327326,79977998
12,12,24,2,33024,3,20992,8,255,27070969,26798181
20,19,24,1,256,4,15,6,32256,81596628,80914293
65,70,24,4,39424,4,91136,6,222,95100076,95255933
28,37,24,2,5120,6,125440,4,30,111478264,111364099
12,11,24,2,9216,3,22528,8,255,74866472,74708085
18,17,22,1,4,2,10,11,130960,59898813,58204731
13,12,22,1,64,2,10,11,130864,71900153,72439619
16,19,21,2,10,7,26336,3,65553,74307068,73425556
26,31,21,2,36,3,74,7,117520,21707742,22178344
16,15,21,2,68,7,98363,3,3584,31381665,31192301
22,21,21,2,2056,7,128512,3,276,98088719,107220468
18,17,21,2,32776,7,97792,3,276,98088719,107220468
17,16,21,2,65544,7,65024,3,276,98088719,107220468
14,13,21,1,8,7,98421,3,3584,31307395,31192301
10,9,21,2,1040,3,22528,7,494,100193899,99914422
13,13,21,2,4160,7,123680,3,14,31039272,31307395
12,11,21,2,640,3,25600,7,127,79960199,79235401
12,11,21,2,1152,3,25088,7,127,79960199,79235401
12,11,21,2,8320,3,17920,7,127,79906908,79977998
11,10,21,2,16512,3,9728,7,127,79960199,79235401
10,9,21,3,66304,3,25600,7,2143,79228495,79977998
10,10,21,3,66816,3,25088,7,2143,79228495,79977998
34,52,21,2,34816,7,96000,3,70,32998024,34393085
35,38,21,2,34816,7,96000,3,14,31307395,31192301
60,86,21,1,2048,3,106496,7,254,113344591,113540585
53,55,20,2,2049,5,30208,4,116,28065251,28401964
27,33,20,2,8193,4,116736,5,110,110442558,111364099
14,13,20,2,65537,4,51712,5,118,95004733,92033789
11,10,20,2,258,10,24300,2,65552,53422942,53752390
96,102,20,1,2,2,12,10,130944,80942377,80354813
92,95,20,1,4,2,10,10,130944,80942377,80354813
93,99,20,1,8,2,6,10,130944,80942377,80354813
13,16,20,1,8,2,68,10,128785,45710949,45774771
33,55,20,3,3328,5,94720,4,78,34299326,33858951
70,79,20,4,71936,5,58880,4,212,100089026,101242370
32,58,20,3,6400,5,91648,4,78,32998024,34393085
70,77,20,4,76032,5,54784,4,212,100089026,101242370
35,63,20,3,18688,5,79360,4,78,32998024,34393085
32,58,20,4,78080,5,52736,4,78,34389671,33160652
29,51,20,4,69120,5,61696,4,78,34299326,33858951
37,60,20,3,5632,5,92416,4,78,34396611,33160652
45,73,20,3,17920,5,80128,4,78,34389671,33160652
45,72,20,3,25600,4,70400,5,110,32485755,33160652
44,56,20,2,12288,4,116736,5,62,111882766,111566728
46,58,20,2,20480,4,108544,5,62,110414139,110429016
23,23,20,3,106496,4,23552,5,121,77597970,79977998
53,72,18,3,40961,6,89600,3,448,100024327,100007045
12,12,18,2,8193,2,98304,9,6622,79934974,79977998
13,13,18,2,16385,2,98304,9,6622,79905785,79977998
12,11,18,1,2,2,68,9,128273,45710949,45774771
75,89,18,1,2,3,44,6,30737,33591093,34297719
14,13,18,2,68,2,10,9,129200,44456657,45149998
14,13,18,2,72,2,6,9,129200,44456657,45149998
22,21,18,2,8200,6,56832,3,276,98088719,107220468
12,11,18,1,8,2,6,9,104817,46813663,46786846
25,56,18,2,32784,9,97184,2,6,20562473,20357115
18,17,18,2,160,2,65537,9,15950,41705702,41769638
10,9,18,2,8224,2,20480,9,99423,101196525,100342508
11,10,18,2,16416,2,12288,9,99423,101196525,100342508
33,32,18,1,32,3,14,6,32256,81598385,80914293
18,21,18,2,192,2,288,9,65041,32888795,34393085
30,34,18,2,32896,6,94976,3,14,31246848,31192301
16,16,18,1,128,3,98,6,32256,81598385,80914293
14,15,18,2,8448,3,17920,6,95,79984580,79235401
11,10,18,1,512,2,24576,9,98809,113813498,113869813
10,9,18,1,1024,2,24576,9,98809,114050232,113621182
10,9,18,1,1024,6,238,3,67600,32012569,32316828
75,115,18,1,1024,3,12800,6,207,30673759,30424538
32,50,18,3,45056,6,85760,3,70,32998024,34393085
27,33,16,2,16385,4,108544,4,46,111864866,111794492
13,14,16,2,12,2,258,8,106001,24605687,24828352
27,26,16,1,4,2,10,8,32273,67192138,67803666
26,25,16,1,4,8,32520,2,17,26409737,26627063
89,108,16,1,8,2,36,8,32273,32888795,34393085
13,12,16,2,48,2,65537,8,15942,41705702,41769638
46,88,16,2,16400,8,113536,2,6,20562473,20357115
92,121,16,1,16,2,98304,8,11470,31364737,31192301
10,9,16,2,4128,2,24576,8,98399,101196525,100342508
11,11,16,1,32,2,98304,8,6239,79235401,79977998
32,65,16,2,32896,8,95024,2,6,20254188,20532654
99,108,16,5,7936,4,122880,4,92,99483553,99856198
96,106,16,5,12032,4,118784,4,92,99483553,99856198
74,80,16,4,43520,4,87040,4,212,92053553,95255933
32,53,16,4,78848,4,19200,4,78,33109774,34393085
37,50,16,3,82944,4,43520,4,30,111487066,111268634
12,11,16,2,10240,2,5120,8,255,74866472,74708085
49,62,16,2,36864,4,92160,4,46,110414139,110429016
30,40,15,1,2,3,44,5,100096,96065646,95862229
16,21,15,2,264,5,28160,3,65553,74307068,73425556
23,22,15,2,1032,5,31232,3,276,98088719,107220468
24,23,15,2,4104,5,28160,3,276,98088719,107220468
24,23,15,2,16392,5,15872,3,276,98088719,107220468
10,10,15,1,64,1,32,15,130975,95672128,96128966
43,84,15,3,17152,3,77824,5,94,33102756,34393085
44,83,15,3,24832,3,70144,5,94,34402473,33160652
58,64,15,2,65792,5,61952,3,14,31200284,30880952
10,9,15,3,25088,5,105472,3,276,92053553,95255933
10,9,15,3,25600,5,104960,3,276,92053553,95255933
10,9,15,3,57344,5,73216,3,276,92053553,95255933
78,126,15,1,8192,3,20992,5,94,30673759,30424538
18,20,14,3,49153,7,81664,2,20,98088719,107220468
10,9,14,2,18,7,98605,2,6144,42612572,42533166
18,17,14,2,1028,14,130027,1,16,45552434,45875632
13,12,14,2,264,2,6,7,32272,67194325,67803666
47,46,14,2,4104,14,126951,1,16,45013638,44736732
10,11,14,1,8,2,36,7,29969,50190300,50069776
14,13,14,2,8208,7,122368,2,192,76273946,77457619
47,93,14,2,65552,7,60288,2,6,20562473,20357115
13,12,14,2,320,7,30368,2,17,52486408,52700216
25,28,14,3,4480,7,124448,2,6,30685870,31192301
19,18,14,2,1152,14,129903,1,16,45559178,45875632
18,17,14,2,2176,14,128879,1,16,45559178,45875632
21,22,14,2,4224,7,126464,2,12,111864866,111794492
19,18,14,2,4224,14,126831,1,16,45559178,45875632
34,64,14,2,4224,7,123664,2,6,21142533,22178344
21,20,14,2,8320,14,122735,1,16,45559178,45875632
21,20,14,2,65664,14,65391,1,16,45559178,45875632
48,66,14,3,33536,7,97281,2,80,37398631,39613533
40,46,14,2,2304,7,128512,2,10,30163372,31773890
74,82,14,4,107520,2,4608,7,223,79921798,79977998
34,38,14,2,67584,7,63232,2,10,31307395,31192301
62,88,14,2,40960,2,81920,7,254,111527635,111364099
89,99,14,2,49152,2,73728,7,223,78185417,78327326
10,9,14,1,65536,14,65518,1,16,27276433,26798181
14,13,13,3,7,13,131048,1,16,45552434,45875632
15,14,13,3,259,13,130796,1,16,45552434,45875632
14,13,13,3,321,13,130734,1,16,45559178,45875632
17,16,13,3,385,13,130670,1,16,45559178,45875632
18,17,13,3,2306,13,128749,1,16,45552434,45875632
49,50,13,2,4098,13,126701,1,16,45013638,44736732
11,11,13,1,2,1,8,13,130993,79235401,79977998
19,18,13,2,4100,13,126954,1,16,45552434,45875632
22,21,13,2,8196,13,122858,1,16,45552434,45875632
67,77,13,2,16388,13,114603,1,16,39624345,40228906
10,9,13,1,4,1,8,13,130993,79235401,79977998
43,44,13,2,16392,13,114662,1,16,45654469,45875632
19,24,13,2,16392,13,114662,1,16,24433539,24143620
43,48,13,2,288,13,130703,1,16,39631131,40228906
47,54,13,2,16416,13,114575,1,16,39637129,40228906
19,18,13,2,4160,13,126894,1,16,45559178,45875632
10,12,13,1,64,1,32,13,130965,113508663,113344591
14,13,13,1,64,13,65454,1,16,26409737,26627063
42,47,13,2,16512,13,114479,1,16,39637129,40228906
10,9,13,3,2816,13,128239,1,16,42682857,42481733
10,9,13,3,3328,13,127727,1,16,42682857,42481733
14,13,13,1,32768,13,32750,1,16,27276433,26798181
21,20,13,0,0,1,64,13,130993,113026109,112240572
15,14,12,2,9,4,22016,3,276,98088719,107220468
19,25,12,2,9,12,130992,1,2,20249432,20532654
17,18,12,3,33281,6,97280,2,20,98088719,107220468
17,19,12,3,33793,6,96768,2,20,98085539,107220468
17,17,12,3,34817,6,95744,2,20,98088719,107220468
29,30,12,2,4097,6,93696,2,20,96329200,107220468
22,26,12,2,8193,6,89600,2,20,98641002,107220468
14,13,12,1,1,1,2,12,130992,71900153,72439619
36,60,12,2,130,4,108,3,98320,42022889,42687804
18,17,12,3,1282,12,129645,1,16,45552434,45875632
82,94,12,3,2306,12,128685,1,16,37398631,39613533
19,18,12,3,8450,12,122477,1,16,45552434,45875632
77,86,12,3,16642,12,114349,1,16,37314000,37000730
94,112,12,3,65794,12,65197,1,16,37548487,37424715
10,9,12,2,1026,4,8840,3,112,60737006,60970007
20,25,12,2,1026,12,113644,1,16,24790260,24735990
18,22,12,2,4098,12,126892,1,16,24800564,25087708
28,36,12,2,8194,12,106476,1,16,24006471,24478689
18,17,12,1,2,4,98316,3,448,78143169,77895860
17,16,12,1,2,1,8,12,130992,71900153,72439619
24,23,12,1,2,1,8,12,130961,59898813,58204731
15,14,12,2,36,6,98393,2,1152,31307395,31192301
20,19,12,2,2052,12,128874,1,16,45552434,45875632
15,14,12,2,32772,6,65657,2,1152,31307395,31192301
15,14,12,2,65540,6,32889,2,1152,31307395,31192301
16,16,12,1,4,1,2,12,98288,60481971,60737006
10,9,12,2,520,6,121856,2,80,92393726,92033789
19,27,12,2,1032,12,129969,1,2,20457616,20539514
